sieve1001.links,sieve101.links,sieve1201.links,sieve201.links,sieve401.links,sieve601.links,sieve801.links
157,20,254,28,40,73,101
153,19,224,25,38,61,99
153,19,225,23,35,61,99
153,18,225,22,35,61,99
153,18,225,22,35,90,99
154,18,224,21,35,71,99
153,17,224,21,35,62,99
153,17,224,21,35,61,99
153,17,225,21,35,61,99
153,17,225,21,35,61,100
153,17,224,21,35,60,99
153,17,224,21,45,61,99
165,17,258,26,52,61,100
154,17,225,24,44,61,99
155,17,225,23,51,85,99
153,17,225,22,43,88,99
153,17,225,22,39,69,99
153,17,225,21,36,61,99
153,17,233,21,35,61,100
153,17,225,25,35,61,132
154,17,225,23,51,61,101
153,17,225,22,43,60,99
153,17,225,21,39,61,101
153,17,225,21,37,61,100
153,17,225,24,35,61,100
