monadicstate.links,purestate.links,state.links
687,137,2809
675,108,2780
703,107,2784
676,108,2788
679,107,2782
676,107,2787
677,107,2786
684,107,2784
678,108,2783
678,107,2782
676,140,2784
676,108,2784
676,107,2783
677,107,2783
678,107,2794
677,108,2782
678,108,2783
677,108,2782
677,142,2785
677,108,2784
677,142,2813
705,146,2787
713,115,2787
714,109,2809
674,107,2833
