monadicstate.links,purestate.links,state.links
706,109,2838
705,108,2783
674,108,2782
673,108,2781
674,108,2784
674,146,2785
675,108,2786
675,108,2786
676,108,2781
675,107,2782
697,108,2780
673,107,2784
673,107,2788
675,108,2782
674,107,2781
672,108,2784
674,107,2780
673,110,2779
673,108,2781
680,108,2779
682,108,2781
674,146,2784
674,109,2782
675,107,2834
690,107,2785
