monadicstate.links,purestate.links,state.links
34,28,30
31,27,29
29,27,27
27,28,27
28,27,34
27,27,33
27,28,30
27,27,29
27,32,28
27,35,28
27,31,27
27,37,27
36,33,27
33,38,27
32,33,27
30,31,27
29,30,27
28,29,27
27,29,27
27,30,27
27,28,27
27,27,27
27,38,27
27,34,27
27,31,28
