
builtin1001.links,269,247,245,248,276,247,247,248,247,248,247,246,246,247,248,246,247,247,247,251,247,246,248,248,246,
builtin101.links,54,80,80,65,58,54,54,70,75,60,75,62,55,54,54,54,54,54,54,81,63,56,59,54,54,
builtin201.links,65,65,65,65,65,65,65,65,65,66,64,65,65,65,65,64,65,65,65,65,65,65,82,93,71,
builtin401.links,116,95,127,124,96,94,94,95,95,94,125,96,94,95,94,121,123,95,94,94,95,94,95,94,94,
builtin601.links,136,135,135,136,136,136,136,135,136,136,135,135,135,135,136,136,136,136,136,137,136,136,135,136,136,
builtin801.links,186,185,185,185,185,214,187,186,186,186,186,186,185,185,186,186,186,202,215,225,228,186,186,185,185,
sieve1001.links,85049,84994,84822,84792,84838,84785,84788,84806,84771,84873,85342,84823,84803,84841,84824,84957,84824,84806,84779,84681,84777,84837,84822,84792,85556,
sieve101.links,990,1025,993,992,991,990,1001,989,1001,1005,991,990,996,989,990,989,996,996,990,990,992,992,999,993,996,
sieve201.links,2483,2483,2477,2473,2485,2472,2472,2474,2471,2473,2469,2507,2478,2473,2481,2470,2469,2471,2482,2471,2466,2473,2485,2467,2472,
sieve401.links,9580,9569,9583,9594,9587,9573,9579,9662,9612,9575,9682,9591,9591,9610,9595,9586,9584,9591,9763,9573,9589,9583,9582,9601,9607,
sieve601.links,24305,24464,24308,24359,24256,24274,24292,24279,24290,24284,24301,24294,24313,24349,24377,24284,24322,24285,24307,24318,24300,24274,24325,24288,24322,
sieve801.links,48655,48694,48744,48682,48628,48646,48615,48715,48677,48613,48641,48637,48642,48667,48833,48679,48707,48640,48756,48750,48661,48837,48988,48686,48691,
