
sieve1001.links,320,307,307,307,307,337,308,307,307,308,313,307,312,307,307,312,307,308,307,333,307,307,307,307,307,
sieve101.links,22,21,20,19,19,18,18,18,18,18,18,17,17,17,17,17,17,18,17,18,17,17,17,18,17,
sieve1201.links,499,472,472,472,472,472,474,473,472,513,472,472,502,473,505,478,475,472,472,472,472,472,472,473,472,
sieve201.links,26,32,30,28,27,26,24,24,24,24,24,24,23,24,23,24,24,24,24,24,28,25,24,26,25,
sieve401.links,73,73,59,52,51,51,51,51,51,51,51,74,59,53,51,51,51,51,52,51,51,50,51,51,51,
sieve601.links,128,103,104,103,103,103,102,103,103,103,102,140,105,131,103,103,103,103,103,103,103,103,103,107,140,
sieve801.links,200,186,186,186,187,189,187,186,187,187,186,186,186,186,186,186,220,222,186,189,186,187,186,187,186,
state.links,1247,1214,1214,1214,1214,1213,1214,1214,1214,1213,1213,1214,1214,1214,1214,1216,1214,1214,1214,1248,1215,1223,1214,1214,1226,
