monadicstate.links,purestate.links,state.links
646,141,22
685,110,21
659,110,20
659,110,20
662,110,19
659,110,19
659,149,19
661,111,19
666,110,19
655,110,19
657,111,19
657,111,19
657,111,19
656,110,19
657,110,19
658,111,19
656,111,19
659,111,25
657,143,23
657,137,21
658,111,21
657,111,21
657,111,20
657,110,19
656,111,19
