monadicstate.ml,purestate.ml,state.ml
347,33,1038
331,35,1009
331,31,1017
332,29,1063
331,27,1009
330,25,1010
331,24,1051
331,25,1034
361,25,1035
355,24,1024
330,25,1009
331,25,1061
331,25,1009
331,25,1009
331,25,1060
331,25,1009
361,33,1009
359,27,1069
331,26,1010
331,25,1045
357,25,1048
359,25,1009
331,25,1009
331,25,1009
348,25,1028
